Rk,Player,Age,Team,Pos,G,GS,MPAVG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,MPTotal,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,SEASON
267,Herbert Jones,25,NOP,SF,76,76,30.5,3.9,7.7,0.498,1.5,3.6,0.418,2.4,4.1,0.568,0.595,1.8,2.1,0.867,1,2.6,3.6,2.6,1.4,0.8,1.2,2.9,11,"DPOY-5,DEF1",2321,13.2,0.636,0.464,0.269,3.6,9.4,6.5,11.3,2.2,2.6,12.4,14.1,3.3,3,6.3,0.131,-0.9,1.5,0.6,1.6,2023
268,Mason Jones,25,SAC,SG,5,0,5.6,0.4,1.6,0.25,0.4,1.4,0.286,0,0.2,0,0.375,0.2,0.4,0.5,0.2,0.8,1,1,0.2,0,0.4,0.6,1.4,,28,5.8,0.394,0.875,0.25,3.9,16.4,10,21.7,1.7,0,18.4,16.6,0,0,0,-0.018,-5.4,0,-5.5,0,2023
269,Tre Jones,24,SAS,PG,77,48,27.8,3.9,7.8,0.505,0.8,2.5,0.335,3.1,5.3,0.584,0.558,1.3,1.5,0.856,0.8,3,3.8,6.2,1,0.1,1.5,1.2,10,,2138,14.7,0.591,0.318,0.197,2.9,11.8,7.3,30.8,1.7,0.3,15.1,15.2,3.4,1.6,4.9,0.111,-0.4,0.1,-0.4,0.9,2023
270,Tyus Jones,27,WAS,PG,66,66,29.3,4.9,10.1,0.489,1.6,3.9,0.414,3.3,6.2,0.537,0.569,0.5,0.6,0.8,0.3,2.4,2.7,7.3,1.1,0.3,1,0.7,12,,1933,16.5,0.578,0.384,0.06,1.1,9,5,34.6,1.7,0.8,8.8,16.3,3.9,0.7,4.5,0.113,1.5,-0.9,0.7,1.3,2023
271,DeAndre Jordan,35,DEN,C,36,2,11,1.6,2.6,0.624,0,0,,1.6,2.6,0.624,0.624,0.7,1.5,0.491,1.5,2.9,4.4,0.7,0.2,0.4,0.6,1.6,3.9,,396,16,0.61,0,0.57,15.6,28,22,8.5,0.8,3.4,16.5,15.4,0.6,0.6,1.2,0.147,-1.7,-0.1,-1.7,0,2023
272,Cory Joseph,32,GSW,PG,26,0,11.4,0.9,2.5,0.359,0.5,1.6,0.31,0.4,0.8,0.455,0.461,0.2,0.3,0.571,0.2,0.9,1.2,1.6,0.2,0.1,0.5,1,2.4,,296,6.2,0.47,0.656,0.109,2.2,8.6,5.5,17.2,0.7,0.9,15.2,11.3,0,0.2,0.2,0.034,-4,-0.7,-4.7,-0.2,2023
273,Nikola Jović,20,MIA,PF,46,38,19.5,2.8,6.1,0.452,1.4,3.5,0.399,1.3,2.6,0.525,0.568,0.7,1,0.702,0.5,3.6,4.2,2,0.5,0.3,0.9,1.8,7.7,,896,12.8,0.583,0.58,0.167,3.1,21.3,12.1,14.7,1.4,1.5,12.2,17.1,0.6,1.3,1.9,0.103,-0.9,1.3,0.3,0.5,2023
274,Johnny Juzang,22,UTA,SG,20,5,18.6,2.6,5.5,0.464,1.6,3.9,0.416,1,1.7,0.576,0.609,0.5,0.7,0.714,0.4,1.5,1.8,1.2,0.2,0.1,0.7,1.5,7.2,,372,9.6,0.62,0.7,0.127,2.1,8.5,5.3,8.4,0.5,0.5,10.1,14.5,0.4,0,0.4,0.047,-1.5,-2.2,-3.7,-0.2,2023
275,Luke Kennard,27,MEM,SG,39,22,25.6,3.6,8.1,0.448,2.7,6.1,0.45,0.9,2,0.442,0.617,1,1.2,0.889,0.3,2.6,2.9,3.5,0.5,0.1,1.4,1,11,,999,13.1,0.641,0.756,0.143,1.2,11.6,6.2,20.8,1,0.2,13.9,16.7,1.4,0.7,2.1,0.099,0.6,-0.9,-0.3,0.4,2023
276,Walker Kessler,22,UTA,C,64,22,23.3,3.6,5.5,0.654,0.1,0.3,0.211,3.5,5.2,0.68,0.66,0.9,1.5,0.602,2.6,4.9,7.5,0.9,0.5,2.4,1,2.1,8.1,,1493,18,0.663,0.054,0.266,12.3,23.1,17.7,5.6,1,9.2,14.4,12.8,2.4,1.7,4.1,0.131,-0.4,1.3,0.9,1.1,2023
277,Braxton Key,26,DEN,SF,20,0,3,0.4,0.9,0.412,0.1,0.3,0.4,0.3,0.6,0.417,0.471,0.3,0.4,0.75,0.2,0.8,0.9,0.5,0.1,0.1,0.1,0.3,1.1,,60,16.5,0.536,0.294,0.471,5.7,26.9,16.6,18.8,1.7,1.4,4.6,15.7,0.1,0.1,0.2,0.18,0.5,1.6,2.1,0.1,2023
278,Corey Kispert,24,WAS,SF,80,22,25.8,4.8,9.9,0.486,2.3,6,0.383,2.5,3.9,0.643,0.602,1.4,2,0.726,0.4,2.4,2.8,2,0.5,0.2,1.2,1.8,13.4,,2067,12.8,0.62,0.605,0.198,1.5,10.3,5.8,10.7,0.9,0.6,10.2,19.6,1.7,0.4,2.1,0.048,-0.2,-2,-2.1,-0.1,2023
279,Maxi Kleber,32,DAL,C,43,7,20.3,1.5,3.4,0.432,0.7,2.1,0.348,0.7,1.3,0.574,0.541,0.8,1.1,0.702,0.7,2.6,3.3,1.6,0.4,0.7,0.7,1.8,4.4,,871,8.8,0.573,0.63,0.322,3.8,14.1,9,9.5,0.9,3,14.4,9.6,0.6,0.8,1.4,0.08,-2.3,1,-1.3,0.2,2023
280,Kevin Knox,24,DET,SF,31,11,18.1,2.8,6,0.462,1,3,0.33,1.8,3,0.598,0.546,0.6,0.7,0.909,0.6,1.8,2.4,0.7,0.4,0.2,0.7,1.6,7.2,,560,9.9,0.57,0.505,0.118,3.5,11.5,7.5,5.9,1.1,1.1,10.1,16.6,0.1,0.2,0.4,0.033,-2.8,-1.8,-4.6,-0.4,2023
281,John Konchar,27,MEM,SF,55,23,21.3,1.6,3.8,0.423,0.7,2.2,0.317,0.9,1.6,0.568,0.514,0.4,0.5,0.84,1.3,3.4,4.7,2,0.9,0.9,0.8,1.4,4.3,,1173,11.4,0.537,0.577,0.12,6.5,18,12,13,2.1,4.1,17.4,9.7,0.5,1.7,2.2,0.091,-2.6,2.2,-0.4,0.5,2023
282,Furkan Korkmaz,26,PHI,SG,35,0,8.6,0.9,2.2,0.395,0.4,1.1,0.35,0.5,1,0.444,0.487,0.4,0.6,0.7,0.1,0.7,0.9,0.7,0.4,0.1,0.3,0.5,2.5,,300,9.2,0.519,0.526,0.263,1.4,9.7,5.5,11,2.3,0.9,10.5,13.6,0,0.3,0.4,0.057,-3.2,0.4,-2.7,-0.1,2023
283,Luke Kornet,28,BOS,C,63,7,15.6,2.3,3.2,0.7,0,0,1,2.2,3.2,0.698,0.702,0.8,0.9,0.907,1.9,2.3,4.1,1.1,0.4,1,0.3,1.2,5.3,,983,19.8,0.736,0.005,0.266,13.5,15.1,14.3,8.9,1.2,5.5,8.5,11,3.5,1.6,5.1,0.248,1.6,1.8,3.4,1.3,2023
284,Vít Krejčí,23,ATL,PG,22,14,24.6,2.3,4.7,0.49,1.3,3.1,0.412,1,1.6,0.639,0.625,0.2,0.3,0.833,0.5,1.9,2.4,2.3,0.6,0.3,0.9,2.2,6.1,,541,8.4,0.633,0.654,0.058,2.1,8.6,5.2,11.6,1.2,1,15.8,9.8,0.5,0.1,0.6,0.056,-3.3,-0.4,-3.7,-0.2,2023
285,Jonathan Kuminga,21,GSW,PF,74,46,26.3,6.2,11.6,0.529,0.7,2.2,0.321,5.4,9.4,0.578,0.56,3,4,0.746,1.2,3.6,4.8,2.2,0.7,0.5,1.6,2.3,16.1,,1949,17,0.598,0.191,0.347,5.2,14.4,9.8,12.5,1.4,1.7,10.9,24.1,2.7,1.9,4.6,0.113,0,-0.4,-0.4,0.8,2023
286,Kyle Kuzma,28,WAS,PF,70,70,32.6,8.7,18.8,0.463,2.2,6.4,0.336,6.5,12.3,0.53,0.521,2.7,3.4,0.775,0.9,5.7,6.6,4.2,0.5,0.7,2.7,2.2,22.2,,2281,15.7,0.547,0.343,0.183,2.8,19.3,10.9,20.7,0.8,1.8,11.9,29.7,-1,1.1,0.2,0.004,0.5,-1.6,-1.1,0.5,2023
287,Jock Landale,28,HOU,C,56,3,13.6,1.9,3.7,0.515,0.2,0.7,0.25,1.7,3,0.578,0.539,0.9,1.2,0.8,1.6,1.5,3.1,1.2,0.4,0.6,0.6,1.3,4.9,,763,15.6,0.584,0.194,0.316,12.2,11.9,12.1,11.8,1.3,4,11.7,14.8,1.4,0.9,2.3,0.146,-0.5,0.4,-0.1,0.4,2023
288,Jake LaRavia,22,MEM,PF,35,6,23,3.4,8.7,0.389,1.5,4.5,0.34,1.9,4.2,0.442,0.477,2.6,3.1,0.826,1.5,2.2,3.7,1.7,0.8,0.3,1.3,2,10.8,,806,12.6,0.54,0.515,0.36,6.7,10.9,8.7,11.1,1.8,1.4,11.4,21.1,0.3,0.8,1,0.062,-1.4,-1,-2.5,-0.1,2023
289,Zach LaVine,28,CHI,SG,25,23,34.9,6.8,15,0.452,2.4,6.8,0.349,4.4,8.3,0.536,0.531,3.5,4.1,0.854,0.3,4.8,5.2,3.9,0.8,0.3,2.1,2.3,19.5,,872,15.1,0.578,0.449,0.274,1,15.8,8.3,16.8,1.2,0.9,11,23.8,0.8,0.6,1.5,0.08,0.8,-0.7,0.1,0.5,2023
290,A.J. Lawson,23,DAL,SG,42,0,7.4,1.3,2.9,0.446,0.3,1.2,0.26,1,1.7,0.577,0.5,0.4,0.5,0.652,0.3,0.9,1.2,0.5,0.2,0.1,0.3,0.5,3.2,,311,11.2,0.519,0.413,0.19,4.9,12.6,8.8,8.9,1.5,0.8,9.6,20,0,0.3,0.2,0.036,-3.1,-1.5,-4.6,-0.2,2023
291,Saben Lee,24,PHO,PG,24,0,7.7,0.8,2.3,0.364,0.1,0.7,0.125,0.8,1.6,0.462,0.382,1.2,1.6,0.744,0.4,0.9,1.3,1.3,0.3,0.1,0.3,0.5,3,,185,13.5,0.492,0.291,0.709,5.8,12.8,9.5,21,1.8,1.4,10,18.8,0.2,0.2,0.4,0.099,-2,0.6,-1.4,0,2023
292,Alex Len,30,SAC,C,48,0,9.3,1,1.7,0.617,0,0.1,0,1,1.6,0.641,0.617,0.4,0.7,0.588,1,1.7,2.7,1,0.2,0.7,0.6,1.4,2.5,,444,14.7,0.625,0.037,0.42,11.3,21.2,16.1,14.4,1.2,6.8,22,11.8,0.6,0.7,1.3,0.138,-2.7,2.9,0.2,0.2,2023
293,Kawhi Leonard,32,LAC,SF,68,68,34.3,9,17.1,0.525,2.1,4.9,0.417,6.9,12.1,0.569,0.585,3.7,4.2,0.885,1.2,4.9,6.1,3.6,1.6,0.9,1.8,1.4,23.7,"AS,NBA2",2330,23.2,0.626,0.289,0.246,4.2,15.6,10.1,16.9,2.4,2.3,8.5,26.5,6,2.9,8.9,0.184,4.8,0.6,5.5,4.4,2023
294,Caris LeVert,29,CLE,SG,68,10,28.8,5.1,12.1,0.421,1.6,4.9,0.325,3.5,7.2,0.486,0.487,2.3,3,0.766,0.6,3.5,4.1,5.1,1.1,0.5,1.7,1.8,14,,1958,14.6,0.524,0.405,0.245,2.3,13.7,8,25.7,1.9,1.6,11.4,23.1,1,2.6,3.6,0.088,-0.6,0.8,0.2,1.1,2023
295,Kira Lewis Jr.,22,3TM,PG,28,0,9.5,1.2,3.3,0.37,0.1,1.2,0.121,1.1,2.1,0.508,0.391,0.6,0.7,0.85,0.3,0.6,0.9,1.3,0.3,0.1,0.5,0.5,3.2,,265,8.6,0.441,0.359,0.217,3.8,7,5.4,18.8,1.7,0.7,12.2,18.5,-0.2,0.2,0,-0.005,-4.4,-1.4,-5.8,-0.3,2023
296,Maxwell Lewis,21,LAL,SF,34,0,3,0.1,0.6,0.19,0,0.3,0.111,0.1,0.4,0.25,0.214,0.1,0.1,0.667,0.1,0.1,0.1,0.2,0.1,0,0.3,0.1,0.3,,103,-3.9,0.246,0.429,0.143,2.3,2.1,2.2,6.8,0.9,0.8,30.9,13.6,-0.5,0,-0.4,-0.195,-10.3,-3.2,-13.5,-0.3,2023
297,E.J. Liddell,23,NOP,PF,8,0,2.9,0.1,0.8,0.167,0,0.6,0,0.1,0.1,1,0.167,0.3,0.3,1,0,0.6,0.6,0.1,0.3,0.3,0.3,0.3,0.5,,23,4.3,0.291,0.833,0.333,0,23.9,12.1,5.2,4.3,8.6,22.5,16.8,-0.1,0.1,0,-0.091,-8.7,4,-4.7,0,2023
298,Damian Lillard,33,MIL,PG,73,73,35.3,7.4,17.5,0.424,3,8.5,0.354,4.4,9,0.49,0.51,6.5,7,0.92,0.5,3.9,4.4,7,1,0.2,2.6,1.8,24.3,"CPOY-11,AS",2579,19.6,0.59,0.487,0.403,1.6,11.8,6.8,28.8,1.3,0.6,11.4,28.4,5.8,1.9,7.7,0.143,3.4,-1.3,2.1,2.7,2023
299,Nassir Little,23,PHO,SF,45,2,10.2,1.3,2.8,0.46,0.5,1.6,0.3,0.8,1.2,0.667,0.544,0.4,0.4,0.85,0.3,1.4,1.7,0.5,0.2,0.2,0.3,0.9,3.4,,458,9.9,0.572,0.565,0.161,3.6,14.3,9.3,6.1,1.1,1.9,9.5,13.9,0.3,0.4,0.7,0.074,-2.4,-0.6,-3,-0.1,2023
300,Dereck Lively II,19,DAL,C,55,42,23.5,4,5.4,0.747,0,0,0,4,5.3,0.752,0.747,0.7,1.5,0.506,2.5,4.4,6.9,1.1,0.7,1.4,0.9,2.6,8.8,ROY-6,1294,18.1,0.728,0.007,0.274,11.4,20.4,16,6.4,1.3,5.2,13.1,12.6,3.1,1.8,4.9,0.183,-0.3,0.8,0.5,0.8,2023
301,Isaiah Livers,25,DET,PF,23,6,20.4,1.7,5,0.345,1,3.3,0.286,0.8,1.7,0.462,0.44,0.5,0.8,0.667,0.7,1.4,2.1,1.1,0.6,0.2,0.7,1.9,5,,469,5.1,0.46,0.664,0.155,3.5,8,5.7,7,1.3,0.9,11.4,12.7,-0.3,0.2,-0.1,-0.015,-5,-1.5,-6.5,-0.5,2023
302,Chris Livingston,20,MIL,SF,21,0,4.3,0.5,1,0.5,0,0.2,0.2,0.5,0.8,0.588,0.523,0.1,0.2,0.75,0.1,0.9,1,0.2,0.1,0,0.2,0.7,1.2,,90,6.9,0.547,0.227,0.182,3.7,21.5,12.8,7.2,1.1,0,17.4,13.8,0,0.1,0.1,0.027,-7,-1,-8,-0.1,2023
303,Kenneth Lofton Jr.,21,3TM,PF,21,0,9.5,1.7,3.7,0.462,0.3,1.1,0.292,1.4,2.6,0.537,0.506,0.8,1.2,0.654,0.6,1.2,1.8,1.6,0.3,0.2,0.7,1.1,4.6,,199,14.7,0.537,0.308,0.333,6.6,14.6,10.5,25.7,1.5,2.3,13.5,22.1,0.1,0.2,0.3,0.068,-0.6,0.3,-0.3,0.1,2023
304,Kevon Looney,27,GSW,C,74,36,16.1,1.9,3.1,0.597,0,0,0,1.9,3.1,0.599,0.597,0.8,1.1,0.675,1.9,3.7,5.7,1.8,0.4,0.4,0.7,2.1,4.5,,1195,15.1,0.62,0.004,0.356,13.1,24.6,18.9,14.1,1.1,2.2,15.6,11.3,2.5,1.6,4,0.162,-0.8,1.4,0.6,0.8,2023
305,Brook Lopez,35,MIL,C,79,79,30.5,4.6,9.6,0.485,1.9,5.1,0.366,2.8,4.4,0.621,0.583,1.4,1.7,0.821,1.5,3.7,5.2,1.6,0.5,2.4,1,2.4,12.5,,2411,14.8,0.608,0.535,0.177,5.4,13,9.3,7.1,0.9,6.7,8.8,16,3.1,2.8,5.9,0.117,0.2,0.8,1,1.8,2023
306,Robin Lopez,35,MIL,C,16,2,4.1,0.4,1.2,0.368,0.1,0.5,0.25,0.3,0.7,0.455,0.421,0.1,0.1,1,0.2,0.1,0.3,0.3,0.1,0.2,0.1,0.4,1.1,,65,6.6,0.453,0.421,0.105,5.2,3.3,4.2,7.8,0.7,3.9,9.1,14.5,0,0,0,0.007,-4.7,-1.4,-6.1,-0.1,2023
307,Kevin Love,35,MIA,PF,55,5,16.8,2.9,6.5,0.44,1.5,4.4,0.344,1.3,2.1,0.643,0.557,1.5,2,0.787,1.1,5.1,6.1,2.1,0.3,0.2,0.9,1.8,8.8,,924,18.5,0.597,0.68,0.301,7.2,34.5,20.7,19,1,1.1,10.6,21.9,1.7,1.6,3.3,0.17,2.7,1,3.6,1.3,2023
308,Kyle Lowry,37,2TM,PG,60,55,28.2,2.7,6.3,0.432,1.6,4.2,0.392,1.1,2.1,0.512,0.562,1.1,1.3,0.84,0.6,2.7,3.2,4.2,1,0.4,1.4,2.4,8.1,,1690,10.9,0.594,0.663,0.199,2.2,10.8,6.4,20.1,1.7,1.2,17.2,12.9,1.6,1.9,3.5,0.1,-1.9,0.9,-1,0.4,2023
309,Seth Lundy,23,ATL,SF,9,0,5.8,0.4,1.9,0.235,0.3,1.4,0.231,0.1,0.4,0.25,0.324,0.3,0.4,0.75,0.1,0.7,0.8,0,0,0,0.1,0.7,1.6,,52,0,0.373,0.765,0.235,2,13.1,7.3,0,0,0,5.1,15.8,-0.1,0,-0.1,-0.092,-7.7,-5,-12.7,-0.1,2023
310,Trey Lyles,28,SAC,PF,58,0,20,2.5,5.5,0.445,1.4,3.8,0.384,1,1.8,0.578,0.576,0.8,1.2,0.7,1.1,3.4,4.4,1.2,0.3,0.3,0.7,1.5,7.2,,1158,11.9,0.596,0.682,0.218,5.8,19.4,12.4,8.1,0.7,1.5,9.7,14.4,1.3,1,2.4,0.098,-0.4,-0.7,-1.1,0.3,2023
311,Théo Maledon,22,2TM,PG,17,1,12.5,1.2,4.1,0.286,0.3,1.8,0.167,0.9,2.4,0.375,0.321,0.8,0.9,0.933,0.2,1.2,1.4,1.6,0.4,0,1.1,1.2,3.5,,213,3.2,0.385,0.429,0.214,2,10.8,6.3,17.8,1.6,0,19,19.6,-0.6,0.1,-0.5,-0.122,-8.3,-2.1,-10.3,-0.5,2023
312,Sandro Mamukelashvili,24,SAS,C,46,5,9.8,1.6,3.4,0.471,0.4,1.4,0.297,1.2,2,0.593,0.532,0.5,0.7,0.735,1,2.2,3.2,1.1,0.2,0.3,0.4,0.8,4.1,,451,15.8,0.559,0.413,0.219,10.7,24.7,17.6,15.4,0.7,2.2,10.1,17.7,0.6,0.4,1,0.11,-0.1,-0.4,-0.5,0.2,2023
313,Terance Mann,27,LAC,SG,75,71,25,3.4,6.6,0.515,0.9,2.7,0.348,2.4,3.9,0.633,0.587,1.1,1.3,0.832,1.2,2.2,3.4,1.6,0.6,0.2,0.6,1.9,8.8,,1873,12,0.615,0.414,0.193,5.4,9.7,7.7,8.5,1.1,0.7,8.2,13.6,3,1.2,4.2,0.106,-0.8,-0.7,-1.5,0.2,2023
314,Tre Mann,22,2TM,PG,41,28,24.1,3.5,7.7,0.459,1.1,3.1,0.373,2.4,4.6,0.516,0.533,1.1,1.4,0.763,0.5,3.1,3.6,4,1.2,0.1,1.6,1.2,9.3,,987,13.7,0.559,0.399,0.187,2.2,15,8.5,24.1,2.5,0.3,16,18.2,0.4,0.8,1.2,0.058,-1.7,0.4,-1.3,0.2,2023
315,Boban Marjanović,35,HOU,C,14,0,5.1,1.3,2.4,0.529,0,0.1,0,1.3,2.3,0.563,0.529,0.6,1,0.643,0.5,1.8,2.3,0.4,0.1,0.1,0.4,0.4,3.2,,71,21.1,0.56,0.059,0.412,10.5,38.2,24.2,13.9,0.7,2.6,11.1,27,0.1,0.1,0.2,0.128,0.2,-0.5,-0.3,0,2023
316,Lauri Markkanen,26,UTA,PF,55,55,33.1,7.8,16.2,0.48,3.2,8,0.399,4.6,8.2,0.559,0.578,4.5,5,0.899,2.2,5.9,8.2,2,0.9,0.5,1.4,1.8,23.2,,1820,21.5,0.631,0.493,0.311,7.4,19.6,13.6,9.5,1.3,1.3,7.1,25,5.2,0.9,6.2,0.163,5.1,-1.5,3.6,2.6,2023
317,Naji Marshall,26,NOP,SF,66,1,19,2.6,5.6,0.463,0.9,2.3,0.387,1.7,3.3,0.516,0.542,1,1.3,0.791,0.8,2.8,3.6,1.9,0.7,0.2,1,1.4,7.1,,1257,12.7,0.576,0.409,0.234,4.8,16.4,10.6,13.6,1.9,0.9,13.8,16.3,1,1.6,2.6,0.1,-1.3,0.5,-0.7,0.4,2023
318,Caleb Martin,28,MIA,SF,64,23,27.4,3.8,8.7,0.431,1.3,3.6,0.349,2.5,5.1,0.489,0.504,1.2,1.5,0.778,1.2,3.2,4.4,2.2,0.7,0.5,1.2,2,10,,1756,10.8,0.531,0.415,0.177,4.7,13.5,9.1,11.8,1.3,1.6,11.3,17.3,0.2,2.2,2.4,0.066,-2.2,0.2,-2,0,2023
319,Cody Martin,28,CHO,SF,28,22,26.9,2.9,7.7,0.381,1,3.1,0.314,2,4.6,0.426,0.444,0.7,1.2,0.606,0.7,3.2,3.9,3.7,1.1,0.6,1.6,1.7,7.5,,753,9.2,0.46,0.4,0.153,2.8,13.9,8.1,19.1,2.1,2.2,16.1,16.1,-0.7,0.5,-0.2,-0.012,-4.1,0.6,-3.5,-0.3,2023
320,KJ Martin,23,2TM,SF,60,2,12.4,1.6,3,0.536,0.1,0.5,0.286,1.5,2.6,0.582,0.558,0.4,0.7,0.537,0.7,1.5,2.2,0.9,0.4,0.2,0.5,1.7,3.7,,746,9.9,0.563,0.155,0.227,6,13.6,9.7,9.4,1.5,1.5,13.9,13.4,0.3,0.8,1.1,0.071,-4,-0.1,-4.1,-0.4,2023
321,Garrison Mathews,27,ATL,SG,66,5,15,1.6,3.4,0.456,1.3,2.9,0.44,0.3,0.5,0.545,0.644,0.5,0.6,0.81,0.3,1.1,1.4,0.6,0.3,0.1,0.3,1.7,4.9,,992,8.9,0.665,0.854,0.186,1.8,8.6,5.1,4.8,1,0.7,7.2,11.1,1.4,0.2,1.6,0.077,-2.1,-0.9,-3,-0.2,2023
322,Bennedict Mathurin,21,IND,SF,59,19,26.1,5,11.2,0.446,1.4,3.6,0.374,3.7,7.6,0.481,0.507,3.1,3.8,0.821,1,2.9,4,2,0.6,0.2,1.6,2,14.5,,1538,13,0.562,0.323,0.338,4.4,12.8,8.6,9.8,1.1,0.7,11.3,23.4,0.8,0.7,1.4,0.045,-1.2,-2.3,-3.4,-0.6,2023
323,Wesley Matthews,37,ATL,SG,36,3,11.5,0.9,2.7,0.351,0.7,1.9,0.348,0.3,0.8,0.357,0.474,0.5,0.7,0.75,0.3,1.2,1.5,0.6,0.4,0.3,0.2,1.2,3.1,,413,8.2,0.511,0.711,0.247,2.3,12.1,7,6.9,1.9,2.4,6.9,11.7,0.2,0.3,0.4,0.049,-3.1,0.3,-2.8,-0.1,2023
324,Tyrese Maxey,23,PHI,PG,70,70,37.5,9.1,20.3,0.45,3,8.1,0.373,6.1,12.1,0.501,0.524,4.7,5.4,0.868,0.5,3.2,3.7,6.2,1,0.5,1.7,2.2,25.9,"MIP-1,AS",2626,19.8,0.573,0.401,0.266,1.5,9.5,5.4,26.7,1.3,1.1,6.8,28,5.9,2.1,8.1,0.147,4.1,-1,3.1,3.4,2023
325,Skylar Mays,26,2TM,PG,38,5,11.4,1.7,4.2,0.396,0.4,1.4,0.296,1.2,2.8,0.448,0.447,0.3,0.4,0.765,0.3,0.9,1.1,2.2,0.6,0.1,0.5,0.7,4.1,,433,12,0.466,0.34,0.107,2.5,8.9,5.6,29.1,2.4,0.8,10.7,18.4,0.1,0.3,0.4,0.044,-2.1,0.1,-2,0,2023
326,Miles McBride,23,NYK,PG,68,14,19.5,3,6.7,0.452,1.6,3.9,0.41,1.4,2.8,0.511,0.572,0.6,0.7,0.86,0.5,1,1.5,1.7,0.7,0.1,0.4,1.6,8.3,,1328,13.1,0.59,0.586,0.11,2.6,5.9,4.2,12.2,1.9,0.5,5.9,16.4,2.4,1.3,3.6,0.131,-0.4,0.4,-0.1,0.6,2023
327,CJ McCollum,32,NOP,PG,66,66,32.7,7.3,16,0.459,3.6,8.4,0.429,3.7,7.5,0.492,0.572,1.7,2.1,0.827,0.6,3.7,4.3,4.6,0.9,0.6,1.7,1.9,20,,2159,17.9,0.592,0.528,0.132,2,12.6,7.4,21.4,1.4,1.9,9,24.7,3.5,2.4,5.9,0.132,3.3,-0.3,3.1,2.8,2023
328,T.J. McConnell,31,IND,PG,71,4,18.2,4.6,8.4,0.556,0.3,0.6,0.409,4.4,7.7,0.568,0.572,0.7,0.9,0.79,0.5,2.2,2.7,5.5,1,0.1,1.5,1.1,10.2,6MOY-7,1291,20.9,0.586,0.074,0.105,3.2,13.6,8.4,41.8,2.6,0.5,14.8,23.7,2.8,1.1,3.9,0.143,2.9,0.1,3,1.6,2023
329,Jaden McDaniels,23,MIN,SF,72,71,29.2,4.3,8.7,0.489,1.2,3.5,0.337,3.1,5.2,0.592,0.557,0.8,1.1,0.722,0.8,2.3,3.1,1.4,0.9,0.6,1.2,3,10.5,DEF2,2105,9.4,0.571,0.406,0.126,3.2,8.7,6,6.8,1.5,1.8,11.6,15.7,0.3,3.1,3.4,0.077,-3.3,0.7,-2.6,-0.3,2023
330,Jalen McDaniels,26,TOR,SF,50,1,10.8,1.3,3.8,0.344,0.2,1.4,0.169,1.1,2.4,0.449,0.376,0.5,0.7,0.73,0.4,1.2,1.6,0.7,0.4,0.1,0.6,1,3.4,,538,5,0.412,0.376,0.196,3.6,12.7,8.1,9.1,1.7,1,12.8,18.7,-1.1,0.3,-0.8,-0.074,-7.2,-1.8,-9,-1,2023
331,Doug McDermott,32,2TM,SF,64,0,14.1,1.9,4.4,0.433,1.5,3.6,0.41,0.5,0.9,0.527,0.599,0.2,0.3,0.579,0.2,0.8,0.9,1.1,0.3,0,0.4,1,5.5,,904,9.1,0.6,0.806,0.067,1.2,6,3.6,10.3,0.8,0.2,8.7,14.9,0.6,0.3,0.9,0.046,-1.5,-1.9,-3.4,-0.3,2023
332,JaVale McGee,36,SAC,C,46,0,7.4,1.7,2.9,0.598,0,0.2,0.143,1.7,2.7,0.624,0.602,0.6,1,0.578,0.9,1.8,2.7,0.4,0.3,0.4,0.7,1,4,,339,19,0.609,0.053,0.341,13.6,28.4,20.8,7.6,2,5.4,18.3,23.4,0.1,0.6,0.7,0.101,-1.9,0.6,-1.3,0.1,2023
333,Bryce McGowens,21,CHO,SG,59,14,14.9,1.7,3.9,0.439,0.6,1.7,0.333,1.1,2.2,0.523,0.513,1.1,1.4,0.776,0.3,1.4,1.7,0.9,0.4,0.2,0.5,1.3,5.1,,882,9.3,0.565,0.443,0.37,2.1,11.2,6.5,8.1,1.2,1.1,10.1,14.9,0.4,0.3,0.6,0.034,-3.7,-1.1,-4.9,-0.6,2023
334,Jordan McLaughlin,27,MIN,PG,56,0,11.2,1.3,2.6,0.483,0.8,1.6,0.472,0.5,1,0.5,0.628,0.2,0.3,0.722,0.3,1,1.3,2,0.6,0.1,0.3,0.6,3.5,,626,15.5,0.638,0.614,0.124,3.4,9.4,6.5,23.7,2.8,1,11.1,12.1,1.4,1.1,2.5,0.193,1.4,2.9,4.2,1,2023
335,De'Anthony Melton,25,PHI,SG,38,33,26.9,3.7,9.5,0.386,2,5.6,0.36,1.6,3.8,0.425,0.493,1.7,2.1,0.835,0.7,3,3.7,3,1.6,0.4,1,2.2,11.1,,1023,13.4,0.533,0.594,0.219,3,12.4,7.6,15.4,2.9,1.4,9,18.3,0.8,1.4,2.1,0.099,-0.7,1.2,0.5,0.7,2023
