Rk,Player,Age,Team,Pos,G,GS,MPAVG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,MPTotal,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,SEASON
155,De'Aaron Fox,26,SAC,PG,74,74,35.9,9.7,20.9,0.465,2.9,7.8,0.369,6.8,13.1,0.522,0.534,4.2,5.7,0.738,0.9,3.7,4.6,5.6,2,0.4,2.6,2.6,26.6,CPOY-12,2659,20.1,0.567,0.374,0.273,2.8,11.8,7.2,25.2,2.7,1.1,10.1,31,3.3,3.2,6.5,0.117,2.6,0.1,2.7,3.2,2023
156,Javon Freeman-Liberty,24,TOR,PG,22,6,18.3,2.5,5.6,0.444,0.5,1.9,0.238,2,3.7,0.549,0.484,1.5,1.6,0.917,0.7,2.5,3.2,1.8,0.5,0.2,1.1,1.3,7,,403,10.7,0.547,0.339,0.29,4.3,15.1,9.6,13.4,1.2,0.9,15.2,17.5,0.1,0.2,0.2,0.029,-3.1,-2,-5.2,-0.3,2023
157,Alex Fudge,20,2TM,SF,6,0,6.7,1,2.5,0.4,0.2,0.8,0.2,0.8,1.7,0.5,0.433,0.3,0.3,1,0.7,0.2,0.8,0,0.5,0,0.3,0.3,2.5,,40,9.8,0.472,0.333,0.133,11.3,2.7,6.9,0,3.6,0,11.2,19.2,0,0,0,-0.007,-3.7,-1.5,-5.2,0,2023
158,Markelle Fultz,25,ORL,PG,43,18,21.2,3.6,7.6,0.472,0.1,0.4,0.222,3.5,7.2,0.487,0.479,0.5,0.8,0.697,1.3,1.9,3.2,2.8,1,0.3,1.2,1.5,7.8,,910,12.6,0.492,0.055,0.101,7.2,10.7,8.9,19.7,2.3,1.5,12.8,18.8,0,1.3,1.3,0.069,-2.6,1.2,-1.4,0.1,2023
159,Andrew Funk,24,CHI,SG,5,0,2.6,0,0.8,0,0,0.6,0,0,0.2,0,0,0,0,,0,0,0,0,0.2,0.2,0,0,0,,13,-5,0,0.75,0,0,0,0,0,3.8,7.9,0,13.5,-0.1,0,-0.1,-0.252,-12.4,-2,-14.4,0,2023
160,Wenyen Gabriel,26,MEM,PF,5,0,16.2,1.6,4.4,0.364,0.2,1.2,0.167,1.4,3.2,0.438,0.386,0,1,0,1.4,3.6,5,0.6,0.4,0.4,1.6,2,3.4,,81,2.3,0.351,0.273,0.227,9.1,25.3,16.9,5.3,1.2,2.3,24.8,17,-0.3,0.1,-0.2,-0.123,-10.6,-1.9,-12.5,-0.2,2023
161,Daniel Gafford,25,2TM,C,74,66,24.5,4.7,6.5,0.725,0,0,,4.7,6.5,0.725,0.725,1.6,2.4,0.674,2.6,5,7.6,1.6,0.9,2.1,1,3.1,11,,1815,21.7,0.731,0,0.365,11.4,22.1,16.7,9.1,1.7,7.1,11.7,14.7,5.2,2.5,7.8,0.205,0.7,1.9,2.6,2.1,2023
162,Danilo Gallinari,35,3TM,SF,49,0,12.9,1.7,3.9,0.437,0.6,1.9,0.323,1.1,2,0.546,0.516,1.7,2,0.857,0.4,1.8,2.2,1.1,0.3,0.1,0.5,1,5.7,,630,13.4,0.601,0.489,0.516,3.4,15.3,9.3,11.6,1.1,0.8,9,17.2,1,0.3,1.3,0.098,-0.8,-1,-1.9,0,2023
163,Darius Garland,24,CLE,PG,57,57,33.4,6.6,14.8,0.446,2.3,6.2,0.371,4.3,8.5,0.501,0.524,2.6,3.1,0.834,0.5,2.1,2.7,6.5,1.3,0.1,3.1,1.7,18,,1901,14.5,0.56,0.423,0.208,1.8,7.1,4.5,29.4,1.9,0.3,16.1,25.3,0.7,2,2.7,0.067,0.2,-1.2,-1,0.5,2023
164,Usman Garuba,21,GSW,PF,6,0,3,0.2,1,0.167,0,0.2,0,0.2,0.8,0.2,0.167,0.2,0.3,0.5,0.5,0.7,1.2,0.2,0.2,0.5,0.3,0.3,0.5,,18,7,0.218,0.167,0.333,18.2,23.7,21,6.6,2.7,15.1,22.5,20.8,-0.1,0,0,-0.124,-10.8,-0.1,-10.9,0,2023
165,Luka Garza,25,MIN,C,25,0,4.9,1.4,3,0.48,0.4,1.3,0.281,1.1,1.7,0.628,0.54,0.7,1,0.72,0.8,0.5,1.2,0.2,0.2,0,0.2,1,4,,122,21.8,0.576,0.427,0.333,18.6,10.7,14.4,5.9,1.6,0.7,6.5,33.3,0.2,0.2,0.4,0.166,0.6,-2.7,-2.1,0,2023
166,Kaiser Gates,27,NOP,SF,1,0,7,0,4,0,0,2,0,0,2,0,0,0,0,,0,1,1,0,0,0,0,0,0,,7,-19.9,0,0.5,0,0,15.7,8,0,0,0,0,24.9,-0.1,0,-0.1,-0.558,-18.6,-10.1,-28.8,-0.1,2023
167,Keyonte George,20,UTA,PG,75,44,27,4.3,10.9,0.391,2,5.9,0.334,2.3,5,0.459,0.482,2.5,3,0.848,0.2,2.6,2.8,4.4,0.5,0.1,2.5,1.2,13,,2023,10.4,0.533,0.54,0.274,0.8,10.6,5.7,23.1,0.9,0.3,17.1,22.8,-0.4,0.1,-0.3,-0.008,-1.5,-2.9,-4.4,-1.2,2023
168,Paul George,33,LAC,PF,74,74,33.8,7.9,16.7,0.471,3.3,7.9,0.413,4.6,8.8,0.523,0.569,3.6,3.9,0.907,0.5,4.7,5.2,3.5,1.5,0.5,2.1,2.7,22.6,AS,2502,19.3,0.613,0.476,0.235,1.7,15.3,8.8,16.1,2.2,1.3,10.1,26.6,4.4,2.8,7.3,0.14,2.9,0.2,3.2,3.3,2023
169,Taj Gibson,38,2TM,PF,20,1,10.2,0.8,1.9,0.405,0.1,0.5,0.2,0.7,1.4,0.481,0.432,0.1,0.1,1,0.6,1.3,1.9,0.6,0.2,0.4,0.3,1.6,1.7,,204,5.9,0.449,0.27,0.054,6.6,13.8,10.2,6.9,0.7,3.2,11.7,9,0,0.2,0.2,0.044,-5.3,0.1,-5.3,-0.2,2023
170,Josh Giddey,21,OKC,SG,80,80,25.1,5,10.6,0.475,1,3,0.337,4,7.6,0.53,0.523,1.3,1.6,0.806,1.4,5,6.4,4.8,0.6,0.6,2.1,1.4,12.3,,2011,16.6,0.547,0.287,0.146,6.4,21.5,14.2,26.6,1.2,2,15.7,23.1,1.4,2.9,4.3,0.102,1,0.4,1.5,1.8,2023
171,Harry Giles,25,2TM,C,23,0,4.3,1,2.2,0.46,0.1,0.6,0.214,0.9,1.6,0.556,0.49,0.3,0.6,0.538,0.5,0.8,1.3,0.3,0.1,0.1,0.3,0.7,2.4,,100,14.8,0.503,0.28,0.26,12.8,20,16.4,10.5,1,2.7,9.7,26.7,0,0.1,0.1,0.027,-2.7,-2,-4.8,-0.1,2023
